"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2024","246.49","247.96","250.80","246.26","45.21M","-0.52%"
"12/10/2024","247.77","246.89","248.21","245.34","36.91M","0.41%"
"12/09/2024","246.75","241.83","247.24","241.75","44.65M","1.61%"
"12/06/2024","242.84","242.90","244.63","242.08","36.87M","-0.08%"
"12/05/2024","243.04","243.99","244.54","242.13","40.03M","0.01%"
"12/04/2024","243.01","242.87","244.11","241.25","44.38M","0.15%"
"12/03/2024","242.65","239.81","242.76","238.90","38.86M","1.28%"
"12/02/2024","239.59","237.27","240.79","237.16","48.14M","0.95%"
"11/29/2024","237.33","234.80","237.81","233.97","28.48M","1.02%"
"11/27/2024","234.93","234.46","235.69","233.81","33.50M","-0.06%"
"11/26/2024","235.06","233.33","235.57","233.33","45.99M","0.94%"
"11/25/2024","232.87","231.46","233.24","229.74","90.15M","1.31%"
"11/22/2024","229.87","228.06","230.72","228.06","38.17M","0.59%"
"11/21/2024","228.52","228.88","230.15","225.71","42.11M","-0.21%"
"11/20/2024","229.00","228.06","229.93","225.89","35.17M","0.32%"
"11/19/2024","228.28","226.98","230.16","226.66","36.21M","0.11%"
"11/18/2024","228.02","225.25","229.74","225.17","44.69M","1.34%"
"11/15/2024","225.00","226.40","226.92","224.27","47.92M","-1.41%"
"11/14/2024","228.22","225.02","228.87","225.00","44.92M","1.38%"
"11/13/2024","225.12","224.01","226.65","222.76","48.57M","0.40%"
"11/12/2024","224.23","224.55","225.59","223.35","40.40M","0.00%"
"11/11/2024","224.23","225.00","225.70","221.50","42.01M","-1.20%"
"11/08/2024","226.96","227.17","228.66","226.40","38.33M","-0.23%"
"11/07/2024","227.48","224.63","227.88","224.57","42.14M","2.14%"
"11/06/2024","222.72","222.61","226.07","221.19","54.56M","-0.33%"
"11/05/2024","223.45","221.79","223.95","221.14","28.11M","0.65%"
"11/04/2024","222.01","220.99","222.79","219.71","44.94M","-0.40%"
"11/01/2024","222.91","220.96","225.35","220.27","65.28M","-1.33%"
"10/31/2024","225.91","229.34","229.83","225.37","64.37M","-1.82%"
"10/30/2024","230.10","232.61","233.47","229.55","47.07M","-1.53%"
"10/29/2024","233.67","233.10","234.32","232.32","35.42M","0.12%"
"10/28/2024","233.40","233.32","234.73","232.55","36.09M","0.86%"
"10/25/2024","231.41","229.74","233.22","229.57","38.80M","0.36%"
"10/24/2024","230.57","229.98","230.82","228.41","31.11M","-0.08%"
"10/23/2024","230.76","234.08","235.14","227.76","52.29M","-2.16%"
"10/22/2024","235.86","233.88","236.22","232.60","38.85M","-0.26%"
"10/21/2024","236.48","234.45","236.85","234.45","36.25M","0.63%"
"10/18/2024","235.00","236.18","236.18","234.01","46.43M","1.23%"
"10/17/2024","232.15","233.43","233.85","230.52","32.99M","0.16%"
"10/16/2024","231.78","231.60","232.12","229.84","34.08M","-0.89%"
"10/15/2024","233.85","233.61","237.49","232.37","64.75M","1.10%"
"10/14/2024","231.30","228.70","231.73","228.60","39.88M","1.65%"
"10/11/2024","227.55","229.30","229.41","227.34","31.76M","-0.65%"
"10/10/2024","229.04","227.78","229.50","227.17","28.18M","-0.22%"
"10/09/2024","229.54","225.23","229.75","224.83","33.59M","1.67%"
"10/08/2024","225.77","224.30","225.98","223.25","31.86M","1.84%"
"10/07/2024","221.69","224.50","225.69","221.33","39.51M","-2.25%"
"10/04/2024","226.80","227.90","228.00","224.13","37.35M","0.50%"
"10/03/2024","225.67","225.14","226.80","223.32","34.04M","-0.49%"
"10/02/2024","226.78","225.89","227.37","223.02","32.88M","0.25%"
"10/01/2024","226.21","229.52","229.65","223.74","63.29M","-2.91%"
"09/30/2024","233.00","230.04","233.00","229.65","54.79M","2.29%"
"09/27/2024","227.79","228.46","229.52","227.30","34.03M","0.12%"
"09/26/2024","227.52","227.30","228.50","225.41","36.64M","0.51%"
"09/25/2024","226.37","224.93","227.29","224.02","42.31M","-0.44%"
"09/24/2024","227.37","228.65","229.35","225.73","43.56M","0.40%"
"09/23/2024","226.47","227.34","229.45","225.81","54.15M","-0.76%"
"09/20/2024","228.20","229.97","233.09","227.62","318.68M","-0.29%"
"09/19/2024","228.87","224.99","229.82","224.63","66.78M","3.71%"
"09/18/2024","220.69","217.55","222.71","217.54","59.89M","1.80%"
"09/17/2024","216.79","215.75","216.90","214.50","45.52M","0.22%"
"09/16/2024","216.32","216.54","217.22","213.92","59.36M","-2.78%"
"09/13/2024","222.50","223.58","224.04","221.91","36.77M","-0.12%"
"09/12/2024","222.77","222.50","223.55","219.82","37.50M","0.05%"
"09/11/2024","222.66","221.46","223.09","217.89","44.59M","1.16%"
"09/10/2024","220.11","218.92","221.48","216.73","51.59M","-0.36%"
"09/09/2024","220.91","220.82","221.27","216.71","67.18M","0.04%"
"09/06/2024","220.82","223.95","225.24","219.77","48.42M","-0.70%"
"09/05/2024","222.38","221.63","225.48","221.52","36.62M","0.69%"
"09/04/2024","220.85","221.66","221.78","217.48","43.84M","-0.86%"
"09/03/2024","222.77","228.55","229.00","221.17","50.19M","-2.72%"
"08/30/2024","229.00","230.19","230.40","227.48","52.99M","-0.34%"
"08/29/2024","229.79","230.10","232.92","228.88","51.91M","1.46%"
"08/28/2024","226.49","227.92","229.86","225.68","38.05M","-0.68%"
"08/27/2024","228.03","225.99","228.85","224.89","35.93M","0.37%"
"08/26/2024","227.18","226.76","227.28","223.89","30.60M","0.15%"
"08/23/2024","226.84","225.66","228.22","224.33","38.68M","1.03%"
"08/22/2024","224.53","227.79","228.34","223.90","43.70M","-0.83%"
"08/21/2024","226.40","226.52","227.98","225.05","34.77M","-0.05%"
"08/20/2024","226.51","225.77","227.17","225.45","30.30M","0.27%"
"08/19/2024","225.89","225.72","225.99","223.04","40.69M","-0.07%"
"08/16/2024","226.05","223.92","226.83","223.65","44.34M","0.59%"
"08/15/2024","224.72","224.60","225.35","222.76","46.41M","1.35%"
"08/14/2024","221.72","220.57","223.03","219.70","41.96M","0.20%"
"08/13/2024","221.27","219.01","221.89","219.01","44.16M","1.72%"
"08/12/2024","217.53","216.07","219.51","215.60","38.03M","0.60%"
"08/09/2024","216.24","212.10","216.78","211.97","42.20M","1.37%"
"08/08/2024","213.31","213.11","214.20","208.83","47.16M","1.66%"
"08/07/2024","209.82","206.90","213.64","206.39","63.52M","1.25%"
"08/06/2024","207.23","205.30","209.99","201.07","69.66M","-0.97%"
"08/05/2024","209.27","199.09","213.50","196.00","119.55M","-4.82%"
"08/02/2024","219.86","219.15","225.60","217.71","105.57M","0.69%"
"08/01/2024","218.36","224.37","224.48","217.02","62.50M","-1.68%"
"07/31/2024","222.08","221.44","223.82","220.63","50.04M","1.50%"
"07/30/2024","218.80","219.19","220.32","216.12","41.64M","0.26%"
"07/29/2024","218.24","216.96","219.30","215.75","36.31M","0.13%"
"07/26/2024","217.96","218.70","219.49","216.01","41.60M","0.22%"
"07/25/2024","217.49","218.93","220.85","214.62","51.39M","-0.48%"
"07/24/2024","218.54","224.00","224.80","217.13","61.78M","-2.88%"
"07/23/2024","225.01","224.37","226.94","222.68","39.96M","0.47%"
"07/22/2024","223.96","227.01","227.78","223.09","48.20M","-0.16%"
"07/19/2024","224.31","224.82","226.80","223.27","49.15M","0.06%"
"07/18/2024","224.18","230.28","230.44","222.27","66.03M","-2.05%"
"07/17/2024","228.88","229.45","231.46","226.64","57.35M","-2.53%"
"07/16/2024","234.82","235.00","236.27","232.33","43.23M","0.18%"
"07/15/2024","234.40","236.48","237.23","233.09","62.63M","1.67%"
"07/12/2024","230.54","228.92","232.64","228.68","53.05M","1.31%"
"07/11/2024","227.57","231.39","232.39","225.77","64.71M","-2.32%"
"07/10/2024","232.98","229.30","233.08","229.25","62.63M","1.88%"
"07/09/2024","228.68","227.93","229.40","226.37","48.17M","0.38%"
"07/08/2024","227.82","227.09","227.85","223.25","59.09M","0.65%"
"07/05/2024","226.34","221.65","226.45","221.65","60.41M","2.16%"
"07/03/2024","221.55","220.00","221.55","219.03","37.37M","0.58%"
"07/02/2024","220.27","216.15","220.38","215.10","58.05M","1.62%"
"07/01/2024","216.75","212.09","217.51","211.92","60.40M","2.91%"
"06/28/2024","210.62","215.77","216.07","210.30","82.54M","-1.63%"
"06/27/2024","214.10","214.69","215.74","212.35","49.77M","0.40%"
"06/26/2024","213.25","211.50","214.86","210.64","66.21M","2.00%"
"06/25/2024","209.07","209.15","211.38","208.61","56.71M","0.45%"
"06/24/2024","208.14","207.72","212.70","206.59","80.73M","0.31%"
"06/21/2024","207.49","210.39","211.89","207.11","246.42M","-1.04%"
"06/20/2024","209.68","213.93","214.24","208.85","86.17M","-2.15%"
"06/18/2024","214.29","217.59","218.63","213.00","79.94M","-1.10%"
"06/17/2024","216.67","213.37","218.95","212.72","93.73M","1.97%"
"06/14/2024","212.49","213.85","215.17","211.30","70.12M","-0.82%"
"06/13/2024","214.24","214.74","216.75","211.60","97.86M","0.55%"
"06/12/2024","213.07","207.37","220.20","206.90","198.13M","2.86%"
"06/11/2024","207.15","193.65","207.16","193.63","172.37M","7.26%"
"06/10/2024","193.12","196.90","197.30","192.15","97.26M","-1.91%"
"06/07/2024","196.89","194.65","196.94","194.14","53.10M","1.24%"
"06/06/2024","194.48","195.68","196.50","194.17","41.18M","-0.71%"
"06/05/2024","195.87","195.40","196.90","194.87","54.16M","0.78%"
"06/04/2024","194.35","194.63","195.32","193.03","47.47M","0.16%"
"06/03/2024","194.03","192.90","194.99","192.52","50.08M","0.93%"
"05/31/2024","192.25","191.44","192.57","189.91","75.16M","0.50%"
"05/30/2024","191.29","190.76","192.18","190.63","49.95M","0.53%"
"05/29/2024","190.29","189.61","192.25","189.51","53.07M","0.16%"
"05/28/2024","189.99","191.51","193.00","189.10","52.28M","0.01%"
"05/24/2024","189.98","188.82","190.58","188.04","36.33M","1.66%"
"05/23/2024","186.88","190.98","191.00","186.63","51.01M","-2.11%"
"05/22/2024","190.90","192.26","192.82","190.27","34.65M","-0.75%"
"05/21/2024","192.35","191.09","192.73","190.92","42.31M","0.69%"
"05/20/2024","191.04","189.32","191.92","189.01","44.36M","0.62%"
